timestamp,best (ofi1),ofi1,ofi2,ofi3,ofi4,ofi5,ofi6,ofi7,ofi8,ofi9,ofi10,ofiI
2024-10-21 11:54:00+00:00,-195.0,-195.0,600.0,10.0,-30.0,29.0,225.0,200.0,44.0,155.0,400.0,0.21017395897757052
2024-10-21 11:55:00+00:00,-916.0,-916.0,974.0,1228.0,152.0,10.0,-84.0,-10.0,-110.0,-100.0,-55.0,-0.043385698771174465
2024-10-21 11:56:00+00:00,199.0,199.0,0.0,1200.0,0.0,-4.0,0.0,0.0,1.0,0.0,0.0,0.1049551331377023
2024-10-21 11:57:00+00:00,201.0,201.0,399.0,392.0,-121.0,-610.0,57.0,-219.0,-134.0,-98.0,-499.0,-0.20288595171775464
2024-10-21 11:58:00+00:00,863.0,863.0,931.0,555.0,182.0,599.0,-587.0,241.0,134.0,188.0,444.0,0.3709386307570433
2024-10-21 11:59:00+00:00,208.0,208.0,1697.0,26.0,-1798.0,0.0,200.0,44.0,154.0,400.0,1.0,0.10548496136996172
2024-10-21 12:00:00+00:00,498.0,498.0,-403.0,-265.0,600.0,-125.0,-120.0,-120.0,-210.0,-155.0,-56.0,-0.0860550989788964
2024-10-21 12:01:00+00:00,-199.0,-199.0,300.0,1404.0,965.0,125.0,-24.0,186.0,66.0,-135.0,155.0,0.2565168550090098
2024-10-21 12:02:00+00:00,-600.0,-600.0,-300.0,514.0,27.0,13.0,172.0,-66.0,144.0,290.0,-99.0,0.026869921011134838
2024-10-21 12:03:00+00:00,-399.0,-399.0,500.0,610.0,812.0,14.0,43.0,110.0,10.0,110.0,100.0,0.16954554601995364
2024-10-21 12:04:00+00:00,197.0,197.0,218.0,132.0,-178.0,-21.0,-200.0,-44.0,-154.0,-450.0,-51.0,-0.1614177872532186
2024-10-21 12:05:00+00:00,995.0,995.0,39.0,697.0,1765.0,702.0,671.0,572.0,554.0,401.0,101.0,0.9545733990969588
2024-10-21 12:06:00+00:00,200.0,200.0,-400.0,247.0,168.0,554.0,401.0,51.0,650.0,605.0,68.0,0.48925912012628664
2024-10-21 12:07:00+00:00,807.0,807.0,1458.0,1229.0,-29.0,77.0,-391.0,-36.0,-540.0,-595.0,42.0,-0.043173872851404185
2024-10-21 12:08:00+00:00,937.0,937.0,29.0,497.0,-28.0,201.0,421.0,-649.0,654.0,163.0,59.0,0.34965472124128577
2024-10-21 12:09:00+00:00,211.0,211.0,180.0,856.0,856.0,1200.0,456.0,-85.0,-80.0,62.0,134.0,0.44471222225711005
2024-10-21 12:10:00+00:00,0.0,0.0,-839.0,802.0,944.0,-1149.0,649.0,200.0,158.0,-36.0,1986.0,0.5428638399494917
2024-10-21 12:11:00+00:00,-1.0,-1.0,2800.0,1171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24829546748545195
2024-10-21 12:12:00+00:00,-166.0,-166.0,424.0,571.0,-1198.0,-28.0,-505.0,-10.0,-100.0,-15.0,-110.0,-0.25635872392043163
2024-10-21 12:13:00+00:00,1380.0,1380.0,-328.0,-625.0,-200.0,95.0,95.0,-37.0,-14.0,1890.0,-8.0,0.43285724943796655
2024-10-21 12:14:00+00:00,-22.0,-22.0,1655.0,1399.0,1201.0,506.0,515.0,110.0,115.0,125.0,120.0,0.5968069957687417
2024-10-21 12:15:00+00:00,-784.0,-784.0,-1301.0,-1257.0,-884.0,-601.0,-610.0,-73.0,-101.0,-2015.0,-112.0,-1.002011690698859
2024-10-21 12:16:00+00:00,-859.0,-859.0,-100.0,-1603.0,-31.0,-1.0,-700.0,-705.0,-168.0,-64.0,-2001.0,-0.9950086147053749
2024-10-21 12:17:00+00:00,-745.0,-745.0,-2693.0,163.0,-470.0,-29.0,0.0,0.0,0.0,0.0,0.0,-0.31469047982061205
2024-10-21 12:18:00+00:00,-800.0,-800.0,-850.0,370.0,-74.0,-400.0,-1.0,-100.0,-600.0,-105.0,-63.0,-0.40952580389156823
2024-10-21 12:19:00+00:00,400.0,400.0,1677.0,200.0,-26.0,0.0,0.0,0.0,100.0,0.0,0.0,0.18545935109596434
2024-10-21 12:20:00+00:00,755.0,755.0,-1195.0,2226.0,1756.0,1601.0,507.0,615.0,610.0,220.0,188.0,1.0507756166957805
2024-10-21 12:21:00+00:00,0.0,0.0,-374.0,3174.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.20381444053708103
2024-10-21 12:22:00+00:00,-602.0,-602.0,-543.0,177.0,-97.0,-400.0,-1.0,-100.0,-500.0,-105.0,-63.0,-0.35462442594243615
2024-10-21 12:23:00+00:00,-503.0,-503.0,598.0,-231.0,-329.0,-774.0,0.0,-405.0,490.0,5.0,48.0,-0.1424395269526844
2024-10-21 12:24:00+00:00,-73.0,-73.0,-2.0,1346.0,503.0,-527.0,-906.0,-111.0,-700.0,-620.0,-278.0,-0.5111763148816848
2024-10-21 12:25:00+00:00,180.0,180.0,107.0,-95.0,2097.0,2101.0,907.0,616.0,710.0,713.0,230.0,1.1955528319417796
2024-10-21 12:26:00+00:00,218.0,218.0,701.0,-1103.0,1717.0,100.0,-301.0,299.0,-599.0,-498.0,395.0,-0.0006609010609838761
2024-10-21 12:27:00+00:00,421.0,421.0,-976.0,12.0,1305.0,100.0,414.0,1.0,100.0,500.0,105.0,0.3600447789303891
2024-10-21 12:28:00+00:00,-510.0,-510.0,-1017.0,-2.0,1695.0,-1200.0,-1.0,-505.0,-10.0,-100.0,-15.0,-0.25836095470572096
2024-10-21 12:29:00+00:00,-720.0,-720.0,237.0,-452.0,1610.0,814.0,200.0,800.0,2.0,200.0,1000.0,0.585946402526315
2024-10-21 12:30:00+00:00,-716.0,-716.0,-2859.0,992.0,-708.0,-606.0,-515.0,-110.0,-115.0,-125.0,-120.0,-0.5774589014320536
2024-10-21 12:31:00+00:00,-1105.0,-1105.0,-1862.0,1586.0,278.0,-110.0,-500.0,-16.0,-210.0,-510.0,-215.0,-0.44312661502109385
2024-10-21 12:32:00+00:00,-871.0,-871.0,-591.0,1424.0,1022.0,510.0,501.0,116.0,210.0,510.0,215.0,0.43478219086810993
2024-10-21 12:33:00+00:00,-12.0,-12.0,-1400.0,1376.0,283.0,-500.0,-401.0,-101.0,-110.0,-500.0,-105.0,-0.2815996414173028
2024-10-21 12:34:00+00:00,-172.0,-172.0,-1393.0,207.0,17.0,100.0,400.0,1.0,100.0,500.0,105.0,0.13509593253867544
2024-10-21 12:35:00+00:00,287.0,287.0,827.0,-389.0,-100.0,399.0,-504.0,90.0,400.0,90.0,-37.0,0.11016044029128506
2024-10-21 12:36:00+00:00,-104.0,-104.0,-719.0,2070.0,1108.0,506.0,514.0,10.0,-385.0,10.0,47.0,0.2959903123514829
2024-10-21 12:37:00+00:00,-255.0,-255.0,-336.0,1266.0,1531.0,286.0,-1516.0,-13.0,-591.0,-901.0,-691.0,-0.5659417521530722
2024-10-21 12:38:00+00:00,-71.0,-71.0,-1798.0,-378.0,-1452.0,-2401.0,-1080.0,-2219.0,-142.0,-315.0,-525.0,-1.526385779557263
2024-10-21 12:39:00+00:00,10.0,10.0,-1007.0,800.0,-200.0,-505.0,-210.0,-100.0,-15.0,-102.0,-110.0,-0.21110612377280527
2024-10-21 12:40:00+00:00,509.0,509.0,1202.0,0.0,200.0,-400.0,-200.0,417.0,117.0,502.0,501.0,0.3507636050895233
